catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
404961731,Canon EOS 750D,150-600mm F5-6.3 DG OS HSM | Contemporary 015,400,600 mm,Flash did not fire,f/8.0,1/1600 sec,6000 pixels x 4000 pixels,5.26 MB,,,,,Black-headed Gull,Chroicocephalus ridibundus,Vyom Vyas,2022-01-11,2022,4.9,62,Asia,4.9
619978627,Canon EOS R6,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,2500,600 mm,Flash did not fire,f/9.0,1/640 sec,2715 pixels x 1810 pixels,4.25 MB,,,,,Spotted Pardalote,Pardalotus punctatus,Darren Hibberd,2024-06-03,2024,4.9,77,Australia,4.9
400424461,Canon EOS 2000D,TAMRON SP 150-600mm F/5-6.3 Di VC USD G2 A022,100,600 mm,Flash did not fire,f/6.3,1/320 sec,6000 pixels x 4000 pixels,5.44 MB,,,,,Pin-tailed Sandgrouse,Pterocles alchata,Alejandro Sanz,2020-09-14,2020,4.9,31,Europe,4.9
351106631,Canon EOS R5,,800,840 mm,Flash did not fire,f/5.6,1/3200 sec,3961 pixels x 2640 pixels,3.74 MB,,,,,Chestnut-collared Longspur,Calcarius ornatus,Tony Dvorak,2021-06-04,2021,4.9,125,North America,4.9
273839511,Canon EOS 7D Mark II,EF100-400mm f/4.5-5.6L IS II USM,100,135 mm,Flash did not fire,f/6.3,1/320 sec,2000 pixels x 1200 pixels,1.26 MB,,,,,Chiguanco Thrush,Turdus chiguanco,Adrián Braidotti,2017-09-22,2017,4.9,20,South America,4.9
422272151,NIKON D7200,,400,500 mm,"Flash did not fire, auto",f/6.3,1/320 sec,5847 pixels x 3899 pixels,2.14 MB,,,,,Brahminy Starling,Sturnia pagodarum,Seth Miller,2022-03-05,2022,4.9,63,Asia,4.9
63340661,Canon EOS 70D,EF70-200mm f/4L IS USM +1.4x,160,280 mm,"Flash did not fire, auto",f/7.1,1/400 sec,3839 pixels x 2565 pixels,2.32 MB,,,,,Gray Catbird,Dumetella carolinensis,Simon Best,2015-10-11,2015,4.9,60,North America,4.9
355808481,Canon EOS R5,RF100-500mm F4.5-7.1 L IS USM,200,500 mm,Flash did not fire,f/7.1,1/640 sec,2598 pixels x 2324 pixels,5.08 MB,,,,,Atlantic Puffin,Fratercula arctica,Robin Ohrt,2021-07-19,2021,4.9,113,North America,4.9
354113931,Canon EOS REBEL T4i,EF100-400mm f/4.5-5.6L IS II USM,1600,400 mm,Flash did not fire,f/5.6,1/200 sec,2757 pixels x 2304 pixels,1.34 MB,,,,,American Three-toed Woodpecker,Picoides dorsalis,Jodhan Fine,2021-07-12,2021,4.9,128,North America,4.9
50946431,NIKON D4,600.0 mm f/4.0,3600,1000 mm,Flash did not fire,f/9.0,1/1000 sec,1600 pixels x 1065 pixels,491.02 KB,,,,,Broad-billed Hummingbird,Cynanthus latirostris,Evan Rasmussen,2017-03-05,2017,4.9,41,North America,4.9
