catalog_number,model,lens,iso,focal_length,flash,f-stop,shutter_speed,dimensions,original_file_size,recorder,microphone,accessories,camera,common_name,scientific_name,photographer,date,year,rating,num_ratings,location
524817841,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,600 mm,Flash did not fire,f/8.0,1/2000 sec,3371 pixels x 2528 pixels,852.21 KB,,,,,Hen Harrier,Circus cyaneus,Tasos Tsonis,2023-01-12,2023,4.9,21,Europe
115751371,Canon PowerShot SX60 HS,,160,226.6 mm,"Flash did not fire, auto",f/6.3,1/1000 sec,4608 pixels x 3456 pixels,4.25 MB,,,,,Vermilion Flycatcher,Pyrocephalus rubinus,Daniel Clark,2018-09-20,2018,4.9,145,North America
592799341,NIKON D850,,640,500 mm,Flash did not fire,f/5.6,1/3200 sec,1720 pixels x 1147 pixels,1.12 MB,,,,,Eastern Kingbird,Tyrannus tyrannus,Vern Wilkins 🦉,2023-07-09,2023,4.9,49,North America
415306831,Canon PowerShot SX70 HS,3.8-247mm,100,125 mm,Flash did not fire,f/6.3,1/250 sec,5184 pixels x 3888 pixels,5.52 MB,,,,,Gray-headed Fish-Eagle,Icthyophaga ichthyaetus,Danidu Geeganage,2021-12-25,2021,4.9,90,Asia
135513331,NIKON D500,200.0-500.0 mm f/5.6,1100,500 mm,Flash did not fire,f/5.6,1/640 sec,2889 pixels x 1926 pixels,3.34 MB,,,,,Winter Wren,Troglodytes hiemalis,Tobias Yoder,2019-01-16,2019,4.9,48,North America
615997605,Canon EOS 7D Mark II,150-600mm F5-6.3 DG OS HSM | Contemporary 015,320,562 mm,Flash did not fire,f/7.1,1/1250 sec,1920 pixels x 1079 pixels,534.93 KB,,,,,Common Murre,Uria aalge,Bruno García,2024-02-03,2024,4.9,21,Europe
362413861,Canon EOS 7D Mark II,EF300mm f/2.8L IS USM,1000,300 mm,Flash did not fire,f/6.3,1/500 sec,4558 pixels x 3038 pixels,7.35 MB,,,,,Eastern Phoebe,Sayornis phoebe,Gang Wu,2021-08-19,2021,4.9,102,North America
354736221,Canon PowerShot SX60 HS,,160,170.6 mm,Flash did not fire,f/5.6,1/800 sec,4608 pixels x 3456 pixels,3 MB,,,,,Purple Heron,Ardea purpurea,Daniel Melamed,2021-07-16,2021,4.9,62,Asia
431436791,COOLPIX P1000,,200,234 mm,Flash did not fire,f/5.6,1/800 sec,4608 pixels x 3456 pixels,1.34 MB,,,,,Whimbrel,Numenius phaeopus,Michal Serdahely,2021-08-18,2021,4.9,21,Africa
547526821,Canon EOS R3,EF200-400mm f/4L IS USM EXT,20000,560 mm,Flash did not fire,f/11.0,1/350 sec,4204 pixels x 2935 pixels,4.88 MB,,,,,Fynbos Buttonquail,Turnix hottentottus,Yves Gisseleire,2023-03-05,2023,4.9,21,Africa
