catalog_number,common_name,scientific_name,photographer,date,year,rating,num_ratings,location,normalized_rating
465683741,Redthroat,Pyrrholaemus brunneus,Scott Baker,2022-06-30,2022,4.6,30,Australia,4.6
615177780,Spanish Eagle,Aquila adalberti,Luis Navarro Martinez,2024-02-21,2024,4.6,20,Europe,4.6
609934829,Eurasian Blue Tit,Cyanistes caeruleus,Jonas Traber,2023-10-14,2023,4.6,77,Europe,4.6
174153731,Black Honeyeater,Sugomel nigrum,Eliot Miller,2019-08-25,2019,4.6,20,Australia,4.6
299820831,Eurasian Wryneck,Jynx torquilla,Rahul  Singh,2021-01-19,2021,4.6,97,Asia,4.6
174252181,Magellanic Plover,Pluvianellus socialis,Vicente Matias  Valdes Guzman,2018-01-06,2018,4.6,43,South America,4.6
494071011,Ocellated Tapaculo,Acropternis orthonyx,Forest Tomlinson,2022-10-13,2022,4.6,35,South America,4.6
503568271,Powerful Owl,Ninox strenua,Caleb robins,2022-11-05,2022,4.6,70,Australia,4.6
136027441,Common Hawk-Cuckoo,Hierococcyx varius,Jyothish Nelson,2018-12-29,2018,4.6,25,Asia,4.6
66242661,Pearl Kite,Gampsonyx swainsonii,Wendell SJ Reyes,2016-12-27,2016,4.6,25,South America,4.6
151829111,Powerful Owl,Ninox strenua,Tim Nickholds,2019-04-18,2019,4.6,20,Australia,4.6
380683271,Eurasian Blue Tit,Cyanistes caeruleus,Martina Holečková,2021-05-04,2021,4.6,50,Europe,4.6
50787181,Short-toed Snake-Eagle,Circaetus gallicus,Snehasis Sinha,2017-03-11,2017,4.6,48,Asia,4.6
72991901,Gray Wagtail,Motacilla cinerea,Sharma BC,2017-10-02,2017,4.6,30,Asia,4.6
186323901,Ochre-faced Tody-Flycatcher,Poecilotriccus plumbeiceps,Jorge  Quiroga,2019-11-06,2019,4.97,87,South America,4.5998936170212765
79216261,Somali Ostrich,Struthio molybdophanes,Alexandre Hespanhol Leitão,2017-02-16,2017,4.59,22,Africa,4.59
489766481,Hellmayr's Pipit,Anthus hellmayri,Pablo Moreno,2022-10-01,2022,4.59,29,South America,4.59
300347851,White-faced Heron,Egretta novaehollandiae,Deb & Rod R,2021-01-22,2021,4.59,34,Australia,4.59
145005421,Quail-plover,Ortyxelos meiffrenii,Barry Reed,2019-01-24,2019,4.59,22,Africa,4.59
392877491,Variegated Fairywren,Malurus lamberti,Oliver Foxe,2021-11-28,2021,4.59,32,Australia,4.59
347387271,Little Owl,Athene noctua,Juan Parra Caceres,2021-06-13,2021,4.59,80,Europe,4.59
204746821,Eurasian Curlew,Numenius arquata,Nick Smith,2016-10-17,2016,4.59,32,Europe,4.59
148680971,Eurasian Tree Sparrow,Passer montanus,Jaime Crespo,2019-03-31,2019,4.59,27,Europe,4.59
407186401,Wallcreeper,Tichodroma muraria,John Mark Simmons,2022-01-18,2022,4.59,111,Europe,4.59
184063101,Shining Sunbeam,Aglaeactis cupripennis,Mathurin Malby,2019-07-26,2019,4.59,37,South America,4.59
474799131,Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Bruno Asencio Sevillano,2022-06-19,2022,4.59,22,Europe,4.59
555601771,Eurasian Blackbird,Turdus merula,Korkut Demirbas,2023-04-09,2023,4.78,23,Europe,4.5808333333333335
557669881,Pied Avocet,Recurvirostra avosetta,Alex Hargrave,2023-04-13,2023,4.58,40,Europe,4.58
618891559,Pied-billed Grebe,Podilymbus podiceps,Leslie Alexandra Rueda Gonzalez,2024-05-11,2024,4.58,24,South America,4.58
376291871,Eurasian Magpie,Pica pica,Cedric García,2021-10-09,2021,4.58,31,Europe,4.58
581739031,Eurasian Moorhen,Gallinula chloropus,Marcin Sidelnik,2023-06-06,2023,4.58,24,Europe,4.58
97313011,Perija Metaltail,Metallura iracunda,John Bruin,2018-04-07,2018,4.58,26,South America,4.58
155414371,Inca Tern,Larosterna inca,Monica Paredes Mejia,2019-04-21,2019,4.58,36,South America,4.58
87427701,Rose-ringed Parakeet,Psittacula krameri,Panchapakesan Jeganathan,2018-02-25,2018,4.58,43,Asia,4.58
590712331,Bearded Bellbird,Procnias averano,Juan D Ramirez Rpo,2023-07-02,2023,4.58,24,South America,4.58
625525185,Pied Harrier,Circus melanoleucos,长御 MRQ,2024-10-28,2024,4.58,24,Asia,4.58
113665081,Cory's/Scopoli's Shearwater,Calonectris borealis/diomedea,Ruth  Danella,2018-09-03,2018,4.58,24,Europe,4.58
615100223,Black Kite,Milvus migrans,Ksheetij Pandey,2024-02-17,2024,4.58,31,Asia,4.58
47381011,White-necked Raven,Corvus albicollis,Billi Krochuk,2017-02-04,2017,4.58,24,Africa,4.58
322783181,Hawfinch,Coccothraustes coccothraustes,Santiago Caballero Carrera,2021-04-04,2021,4.91,109,Europe,4.5742735042735045
175771051,Maroon-bellied Parakeet,Pyrrhura frontalis,Allisson Cafeseiro,2019-02-17,2019,4.57,28,South America,4.57
317263081,Swallow-tailed Kite,Elanoides forficatus,Rúben Coelho,2021-03-15,2021,4.57,21,Europe,4.57
94407681,Eurasian Pygmy-Owl,Glaucidium passerinum,Florian Marchner,2018-04-13,2018,4.57,21,Europe,4.57
387814941,White-crested Elaenia,Elaenia albiceps,Luis R Figueroa,2021-11-13,2021,4.57,30,South America,4.57
189993271,Eurasian Nuthatch,Sitta europaea,Batmunkh Davaasuren,2019-11-26,2019,4.57,35,Asia,4.57
248205841,Red-billed Chough,Pyrrhocorax pyrrhocorax,Filipe Canário,2016-09-12,2016,4.57,76,Europe,4.57
57348101,Mealy Amazon,Amazona farinosa,Rodrigo Gaviria O,2017-05-02,2017,4.57,23,South America,4.57
433570951,Anhinga,Anhinga anhinga,Freddy Oswaldo Ovalles Pabon,2022-04-09,2022,4.57,23,South America,4.57
447427691,Northern Gannet,Morus bassanus,Jeff Young,2022-05-10,2022,4.57,124,Europe,4.57
480391331,Crimson Chat,Epthianura tricolor,Keith Wilcox,2022-08-23,2022,4.57,23,Australia,4.57
38782131,Red-browed Pardalote,Pardalotus rubricatus,Debra Kriensky,2016-10-15,2016,4.57,21,Australia,4.57
564809491,Spectacled Duck,Speculanas specularis,James Mitchell,2023-04-29,2023,4.57,30,South America,4.57
473492761,Oriental Magpie-Robin,Copsychus saularis,JISHNU  K,2022-08-07,2022,4.57,35,Asia,4.57
247579391,Barolo Shearwater,Puffinus baroli,Andre Vieira,2020-06-26,2020,4.57,23,Europe,4.57
443573701,Eurasian Kestrel (Eurasian),Falco tinnunculus [tinnunculus Group],Frédéric Bacuez,2022-04-05,2022,4.56,25,Asia,4.56
152106741,Eurasian Curlew,Numenius arquata,jithesh pai,2019-04-13,2019,4.56,48,Asia,4.56
271418541,Gray Teal,Anas gracilis,Ken Kwan,2020-10-05,2020,4.56,45,Australia,4.56
609537284,Sabine's Gull,Xema sabini,Giorgos Papadomanolakis,2023-10-03,2023,4.56,25,Europe,4.56
